oblast,raion,hromada,level,started_at,finished_at
Vinnytska oblast,,,oblast,2022-03-15 16:10:34+00:00,2022-03-15 16:50:07+00:00
Zhytomyrska oblast,,,oblast,2022-03-15 16:11:25+00:00,2022-03-15 16:54:23+00:00
Cherkaska oblast,Umanskyi raion,Umanska terytorialna hromada,hromada,2022-03-15 16:11:50+00:00,2022-03-15 16:54:47+00:00
Mykolaivska oblast,Pervomaiskyi raion,m. Pervomaisk ta Pervomaiska terytorialna hromada,hromada,2022-03-15 16:14:46+00:00,2022-03-15 16:57:08+00:00
Kirovohradska oblast,,,oblast,2022-03-15 16:15:11+00:00,2022-03-15 16:54:52+00:00
Khmelnytska oblast,Khmelnytskyi raion,m. Starokostiantyniv ta Starokostiantynivska terytorialna hromada,hromada,2022-03-15 16:16:00+00:00,2022-03-15 17:21:04+00:00
Kyivska oblast,Bilotserkivskyi raion,Skvyrska terytorialna hromada,hromada,2022-03-15 16:17:20+00:00,2022-03-15 16:55:55+00:00
Ivano-Frankivska oblast,,,oblast,2022-03-15 16:17:28+00:00,2022-03-15 17:14:18+00:00
Lvivska oblast,,,oblast,2022-03-15 16:17:29+00:00,2022-03-15 17:16:23+00:00
Rivnenska oblast,,,oblast,2022-03-15 16:18:35+00:00,2022-03-15 17:13:47+00:00
Volynska oblast,,,oblast,2022-03-15 16:19:13+00:00,2022-03-15 17:16:10+00:00
Kyiv City,,,oblast,2022-03-15 16:19:20+00:00,2022-03-15 18:52:28+00:00
Ternopilska oblast,,,oblast,2022-03-15 16:22:29+00:00,2022-03-15 17:18:11+00:00
Kyivska oblast,Bilotserkivskyi raion,m. Bila Tserkva ta Bilotserkivska terytorialna hromada,hromada,2022-03-15 16:26:26+00:00,2022-03-15 16:55:51+00:00
Kyivska oblast,Obukhivskyi raion,m. Vasylkiv ta Vasylkivska terytorialna hromada,hromada,2022-03-15 16:26:42+00:00,2022-03-15 19:12:43+00:00
Chernihivska oblast,,,oblast,2022-03-15 16:30:17+00:00,2022-03-15 17:02:48+00:00
Kyivska oblast,Bilotserkivskyi raion,Hrebinkivska terytorialna hromada,hromada,2022-03-15 16:46:43+00:00,2022-03-15 16:58:17+00:00
Poltavska oblast,Lubenskyi raion,Hrebinkivska terytorialna hromada,hromada,2022-03-15 16:46:43+00:00,2022-03-15 16:58:17+00:00
Poltavska oblast,Lubenskyi raion,m. Pyriatyn ta Pyriatynska terytorialna hromada,hromada,2022-03-15 16:46:55+00:00,2022-03-15 16:58:22+00:00
Vinnytska oblast,,,oblast,2022-03-15 16:52:30+00:00,2022-03-15 17:24:19+00:00
Chernihivska oblast,Nizhynskyi raion,,raion,2022-03-15 16:54:51+00:00,2022-03-15 17:02:45+00:00
Chernihivska oblast,Prylutskyi raion,,raion,2022-03-15 16:54:58+00:00,2022-03-15 17:02:43+00:00
Donetska oblast,Kramatorskyi raion,,raion,2022-03-15 17:14:32+00:00,2022-03-15 17:31:06+00:00
Donetska oblast,Bakhmutskyi raion,Toretska terytorialna hromada,hromada,2022-03-15 17:18:14+00:00,2022-03-15 17:42:07+00:00
Kyivska oblast,Vyshhorodskyi raion,Vyshhorodska terytorialna hromada,hromada,2022-03-15 17:43:26+00:00,2022-03-15 19:12:38+00:00
Cherkaska oblast,Umanskyi raion,Umanska terytorialna hromada,hromada,2022-03-15 18:04:27+00:00,2022-03-15 18:35:27+00:00
Cherkaska oblast,Umanskyi raion,Zhashkivska terytorialna hromada,hromada,2022-03-15 18:04:36+00:00,2022-03-15 18:35:23+00:00
Kyivska oblast,,,oblast,2022-03-15 18:06:20+00:00,2022-03-15 19:12:29+00:00
Zhytomyrska oblast,,,oblast,2022-03-15 18:08:22+00:00,2022-03-15 18:35:56+00:00
Vinnytska oblast,,,oblast,2022-03-15 18:09:10+00:00,2022-03-15 18:24:49+00:00
Kirovohradska oblast,,,oblast,2022-03-15 18:11:07+00:00,2022-03-15 18:35:59+00:00
Sumska oblast,Sumskyi raion,m. Sumy ta Sumska terytorialna hromada,hromada,2022-03-15 18:17:40+00:00,2022-03-15 19:00:32+00:00
Zhytomyrska oblast,Zhytomyrskyi raion,,raion,2022-03-15 18:41:43+00:00,2022-03-16 03:40:29+00:00
